"DrugBankIDs" "DiseaseID"
"DB00158" "MESH:D016889"
"DB00158" "MESH:D001284"
"DB00158" "MESH:D008545"
"DB00158" "MESH:D012559"
"DB00159" "MESH:D007333"
"DB00162" "MESH:D000740"
"DB00162" "MESH:D003110"
"DB00162" "MESH:D015658"
"DB00162" "MESH:D008114"
"DB00162" "MESH:D009369"
"DB00162" "MESH:D008171"
"DB00162" "MESH:D011565"
"DB00162" "MESH:D008103"
"DB00162" "MESH:D002386"
"DB00162" "MESH:D012871"
"DB00162" "MESH:D009202"
"DB00165" "MESH:D005119"
"DB00165" "MESH:D010302"
"DB00165" "MESH:D010300"
"DB00165" "MESH:D000437"
"DB00165" "MESH:D011618"
"DB00165" "MESH:D012640"
"DB00165" "MESH:D009336"
"DB00165" "MESH:D012559"
"DB00165" "MESH:D006948"
"DB00165" "MESH:D009422"
"DB00165" "MESH:D010146"
"DB00165" "MESH:D013226"
"DB00165" "MESH:D003128"
"DB00165" "MESH:D004421"
"DB00165" "MESH:D012871"
"DB00165" "MESH:D014376"
"DB00165" "MESH:D010523"
"DB00165" "MESH:D004890"
"DB00165" "MESH:D014397"
"DB00165" "MESH:D010292"
"DB00165" "MESH:D000756"
"DB00166" "MESH:D009410"
"DB00166" "MESH:D007035"
"DB00166" "MESH:D007333"
"DB00166" "MESH:D008545"
"DB00166" "MESH:D007674"
"DB00166" "MESH:D058186"
"DB00166" "MESH:D010523"
"DB00166" "MESH:D003327"
"DB00166" "MESH:D065626"
"DB00166" "MESH:D012640"
"DB00166" "MESH:D015431"
"DB00166" "MESH:D006946"
"DB00166" "MESH:D008133"
"DB00166" "MESH:D007410"
"DB00166" "MESH:D019636"
"DB00166" "MESH:D008114"
"DB00166" "MESH:D003967"
"DB00166" "MESH:D007249"
"DB00166" "MESH:D002471"
"DB00166" "MESH:D003925"
"DB00166" "MESH:D003928"
"DB00166" "MESH:D003929"
"DB00166" "MESH:D003093"
"DB00166" "MESH:D018827"
"DB00166" "MESH:D015430"
"DB00166" "MESH:D008103"
"DB00166" "MESH:D002386"
"DB00166" "MESH:D011297"
"DB00166" "MESH:D009845"
"DB00166" "MESH:D013733"
